1,179,1
1,21,2
1,346,3
1,21,4
1,784,5
2,119,1
2,120,2
2,22,3
2,120,4
2,22,5
2,120,6
2,22,7
2,120,8
2,22,9
2,784,10
3,168,1
3,120,2
3,22,3
3,120,4
3,22,5
3,120,6
3,22,7
3,120,8
3,22,9
3,119,10
3,22,11
3,784,12
4,168,1
4,21,2
4,51,3
4,21,4
4,43,5
4,21,6
4,43,7
4,21,8
4,784,9
5,177,1
5,43,2
5,21,3
5,346,4
5,21,5
5,784,6
5,952,7
6,171,1
6,241,2
6,313,3
6,784,4
6,514,5
7,179,1
7,241,2
7,346,3
7,784,4
7,514,5
8,119,1
8,120,2
8,22,3
8,126,4
8,749,5
8,22,6
8,789,7
8,722,8
9,120,1
9,228,2
9,812,3
9,115,4
9,22,5
9,115,6
9,752,7
9,789,8
10,184,1
10,576,2
10,569,3
10,564,4
10,274,5
10,820,6
10,364,7
10,22,8
10,364,9
10,22,10
10,364,11
10,22,12
10,364,13
10,22,14
10,248,15
10,788,16
11,179,1
11,21,2
11,346,3
11,21,4
11,784,5
11,956,6
11,959,7
12,179,1
12,21,2
12,346,3
12,26,4
12,784,5
13,179,1
13,21,2
13,216,3
13,21,4
13,745,5
13,784,6
14,179,1
14,21,2
14,354,3
14,21,4
14,784,5
14,679,6
15,235,1
15,177,2
15,124,3
15,21,4
15,323,5
15,21,6
15,360,7
15,426,8
15,784,9
15,1055,10
16,179,1
16,8,2
16,346,3
16,8,4
16,784,5
17,179,1
17,21,2
17,346,3
17,21,4
17,784,5
17,1049,6
18,179,1
18,21,2
18,824,3
18,114,4
18,21,5
18,759,6
18,784,7
19,179,1
19,37,2
19,346,3
19,37,4
19,784,5
20,235,1
20,179,2
20,21,3
20,346,4
20,21,5
20,784,6
20,511,7
21,258,1
21,179,2
21,21,3
21,1037,4
21,21,5
21,784,6
22,179,1
22,21,2
22,346,3
22,21,4
22,784,5
22,669,6
23,179,1
23,21,2
23,346,3
23,21,4
23,784,5
23,956,6
23,916,7
23,910,8
24,179,1
24,21,2
24,346,3
24,21,4
24,784,5
24,967,6
24,1069,7
25,179,1
25,21,2
25,346,3
25,21,4
25,784,5
25,965,6
25,962,7
25,423,8
26,179,1
26,21,2
26,540,3
26,346,4
26,21,5
26,784,6
26,518,7
26,956,8
27,179,1
27,21,2
27,346,3
27,21,4
27,95,5
27,784,6
27,959,7
28,179,1
28,223,2
28,21,3
28,346,4
28,223,5
28,21,6
28,784,7
28,965,8
28,958,9
29,179,1
29,21,2
29,346,3
29,21,4
29,346,5
29,21,6
29,784,7
30,179,1
30,21,2
30,346,3
30,21,4
30,784,5
30,1022,6
30,939,7
31,179,1
31,21,2
31,346,3
31,21,4
31,778,5
31,763,6
32,179,1
32,21,2
32,323,3
32,21,4
32,323,5
32,21,6
32,784,7
33,179,1
33,172,2
33,21,3
33,309,4
33,21,5
33,309,6
33,21,7
33,309,8
33,21,9
33,784,10
34,179,1
34,21,2
34,347,3
34,21,4
34,784,5
35,179,1
35,19,2
35,346,3
35,19,4
35,784,5
36,179,1
36,21,2
36,346,3
36,21,4
36,784,5
36,905,6
36,911,7
36,908,8
36,912,9
37,179,1
37,21,2
37,346,3
37,21,4
37,43,5
37,21,6
37,43,7
37,21,8
37,784,9
37,497,10
38,179,1
38,21,2
38,353,3
38,21,4
38,784,5
39,179,1
39,21,2
39,346,3
39,21,4
39,784,5
39,916,6
40,179,1
40,21,2
40,346,3
40,21,4
40,784,5
40,1059,6
41,179,1
41,21,2
41,346,3
41,21,4
41,784,5
41,1062,6
42,179,1
42,21,2
42,346,3
42,21,4
42,789,5
42,611,6
42,612,7
43,177,1
43,21,2
43,351,3
43,21,4
43,784,5
44,179,1
44,21,2
44,344,3
44,21,4
44,784,5
44,624,6
44,539,7
45,179,1
45,21,2
45,346,3
45,21,4
45,784,5
45,946,6
46,179,1
46,21,2
46,346,3
46,21,4
46,784,5
46,510,6
46,507,7
46,508,8
47,179,1
47,21,2
47,346,3
47,21,4
47,784,5
47,917,6
47,922,7
48,179,1
48,21,2
48,346,3
48,21,4
48,248,5
48,788,6
49,179,1
49,21,2
49,346,3
49,21,4
49,784,5
49,666,6
50,179,1
50,21,2
50,302,3
50,21,4
50,747,5
50,784,6
50,956,7
51,179,1
51,21,2
51,346,3
51,21,4
51,784,5
51,615,6
52,179,1
52,28,2
52,202,3
52,346,4
52,21,5
52,784,6
53,179,1
53,21,2
53,346,3
53,21,4
53,784,5
53,963,6
53,1069,7
54,179,1
54,21,2
54,346,3
54,21,4
54,784,5
54,957,6
54,958,7
54,891,8
55,257,1
55,179,2
55,21,3
55,346,4
55,21,5
55,784,6
55,662,7
56,179,1
56,21,2
56,346,3
56,21,4
56,784,5
56,932,6
57,179,1
57,21,2
57,346,3
57,21,4
57,784,5
57,1069,6
58,179,1
58,21,2
58,346,3
58,21,4
58,773,5
59,179,1
59,21,2
59,346,3
59,21,4
59,784,5
59,1050,6
60,179,1
60,21,2
60,346,3
60,21,4
60,784,5
60,987,6
60,1006,7
60,1007,8
61,179,1
61,21,2
61,346,3
61,21,4
61,784,5
61,916,6
61,904,7
61,910,8
62,231,1
62,179,2
62,21,3
62,346,4
62,21,5
62,784,6
62,1055,7
62,682,8
63,179,1
63,21,2
63,346,3
63,21,4
63,784,5
63,960,6
64,179,1
64,21,2
64,343,3
64,21,4
64,784,5
65,179,1
65,21,2
65,346,3
65,21,4
65,784,5
65,664,6
65,1000,7
65,956,8
65,967,9
66,179,1
66,38,2
66,346,3
66,21,4
66,784,5
66,661,6
67,179,1
67,21,2
67,346,3
67,21,4
67,784,5
67,899,6
68,179,1
68,21,2
68,579,3
68,21,4
68,784,5
69,179,1
69,21,2
69,345,3
69,21,4
69,784,5
70,5,1
70,179,2
70,12,3
70,346,4
70,12,5
70,784,6
71,179,1
71,21,2
71,346,3
71,21,4
71,784,5
71,958,6
72,179,1
72,21,2
72,346,3
72,21,4
72,784,5
72,965,6
72,957,7
72,958,8
73,179,1
73,21,2
73,346,3
73,21,4
73,801,5
73,731,6
73,732,7
74,179,1
74,21,2
74,346,3
74,21,4
74,784,5
74,714,6
75,179,1
75,21,2
75,346,3
75,21,4
75,820,5
75,364,6
75,22,7
75,364,8
75,22,9
75,364,10
75,22,11
75,364,12
75,22,13
75,248,14
75,788,15
76,179,1
76,21,2
76,348,3
76,21,4
76,784,5
76,959,6
77,179,1
77,21,2
77,346,3
77,21,4
77,564,5
77,784,6
78,184,1
78,21,2
78,353,3
78,21,4
78,784,5
79,230,1
79,179,2
79,21,3
79,278,4
79,219,5
79,21,6
79,784,7
80,171,1
80,21,2
80,168,3
80,21,4
80,346,5
80,21,6
80,784,7
81,182,1
81,21,2
81,333,3
81,21,4
81,784,5
82,179,1
82,21,2
82,346,3
82,21,4
