1,bet,0,Reante,Everyone must reante.
2,bet,0,Two pots,"Ante twice, into a high pot and a low pot."
3,bet,0,Reante,Everyone must reante to each remaining pot.
4,bet,0,Reante to both,Everyone must reante to both pots.
5,bet,0,No ante,Players do not ante.
6,bet,0,Reante if you match to get in,"Players who have folded, but have a joker or a card of the same rank as the table card, may reante to get back into the game."
7,bet,0,Reante for each card,"Each player must reante once for each card they have, including the one they are about to be dealt."
8,bet,1,Lead bet with forced open,"Normal betting round, starting with the player to the dealer's left, who must bet."
9,bet,1,Left of last raiser forced bet,"Betting round, starting with the player to the left of the person called in the last round of betting, who must bet."
10,bet,1,Lead bet for the low pot,"Lead bet for the low hand, all bets go into the low pot."
11,bet,1,Lead bet for the high pot,"Lead bet for the high hand, all bets go into the high pot."
12,bet,1,"Lead bet, pay to fold","Normal betting round, starting with the player to the dealer's left. In order to fold you must pay max bet."
13,bet,1,Last raiser must bet,"Betting round, starting with the last person called in the last round, who must bet."
14,bet,1,Last winner must bet,"Betting round, starting with the person who won the last hand, who must bet."
15,bet,1,"Lead bet, bet multiples of the pot","Betting round, starting with the player to the left of the dealer. Players bet how many times they will match the pot, up to triple the pot."
16,bet,1,High bet with force open,"Normal Betting round, starting with the high hand showing, who must bet or fold."
17,bet,1,"High bet, no pass","Normal betting round, with the high hand opening. You may not check/pass, you must bet or fold."
18,bet,1,Rotating lead bet with increasing blind,"Lead bet, first round starts to the left of the dealer, subsequent rounds rotate clockwise around the table, with a blind bet."
19,bet,1,Lead bet with a blind,"Betting round, starting with the player to the dealer's left, with one blind bet."
20,bet,1,Combined lead bet,"Betting round, starting with the player to the left of the dealer. Both players must bet the hand, if one folds, the other must be double."
21,bet,1,Lead bet,"Normal betting round, with the player to the left of the dealer opening."
22,bet,1,High bet,"Normal betting round, with the player with the high hand showing opening."
23,bet,1,Left of last raiser bets,"Betting round, starting with the player to the left of the person called in the last round of betting."
24,bet,1,Lead bet if anyone twisted,"If any player twisted, there is an additional betting round starting with the player to the dealer's left."
25,bet,1,Low bet,Normal betting round starting with the player with the lowest hand showing.
26,bet,1,Last raiser bets,"Betting round, starting with the last person to raise."
27,bet,1,"Lead bet, no pass","Normal betting round, with the player to the left of the dealer opening, you may not pass (check)."
28,bet,1,"Lead bet, jacks to open","Normal betting round, with the player to the left of the dealer opening, you must have a pair of jacks or better to open."
29,bet,1,Rotating bet,"Normal betting round, first round starts to the left of the dealer, subsequent rounds start rotate around the table."
30,bet,1,Lead bet,"If the player who just flipped cards didn't fold, normal betting round starting with that player."
31,bet,1,"Lead bet, match the pot to fold","Normal betting round, with the player to the left of the dealer opening. You must match the pot to fold."
32,bet,1,"Lead bet, kings to open","Normal betting round, with the player to the left of the dealer opening, you must have a pair of kings or better to open. If no one opens, reante and redeal."
33,bet,1,"Lead bet, queens to open","Normal betting round, with the player to the left of the dealer opening, you must have a pair of queens or better to open. If no one opens, reante and redeal."
34,bet,1,"Lead bet, aces to open","Normal betting round, with the player to the left of the dealer opening, you must have a pair of aces or better to open. If no one opens, reante and redeal."
35,bet,1,"Lead bet, four flush or jacks to open","Normal betting round, with the player to the left of the dealer opening, you must have a pair of jacks or better or a four card flush to open. If no one opens, reante and redeal."
36,bet,1,"If no one opens, forced open","If no one opened in the previous round of betting, the player to the left of the dealer must open with at least double ante."
37,bet,1,Lead bet with two blinds,"Betting round, starting left of the dealer, with two blinds."
38,bet,1,Lead bet with two blinds and a straddle,"Betting round, starting left of the dealer, with two blinds and a straddle."
39,bet,1,"Lead bet, three bump limit per game","Normal betting round, with the player to the left of the dealer opening. The pot may only be raised three times in the game."
40,bet,2,"Lead bet, bet each hand","Betting round, starting with the player to the left of the dealer. You must bet each hand the same, unless you fold one of them."
41,bet,2,"High bet, bet both hands","Betting round starting with the high hand showing. You must make identical bets for both hands, unless you fold one of them."
42,common,-2,The lead discards two commons,The player to the left of the dealer chooses two common cards to be discarded.
43,common,1,One common up,Deal one common card face up to the table.
44,common,1,Deal one common on up sixes,"If a player is ever dealt a face up six, deal one common card face up."
45,common,2,One and one common up,Deal two sets of one face up common card each.
46,common,2,"Deal two commons up, one right and one below","Deal two commons face up to the table, one to the right of the 3x3 grid, one below it."
47,common,2,Two common up,Deal two common cards face up to the table.
48,common,3,Three common down in an 'L',Deal three common cards face down in an 'L' shape.
49,common,3,Three common down,Deal three common cards face down.
50,common,3,Three common down in a V,Deal three common cards face down in a V pattern.
51,common,3,Three common up,Deal three common cards face up to the table.
52,common,4,"Deal four common up, two on the right, two below","Deal four common cards face up to the table. Deal two the right of the 3x3 grid, and two below it."
53,common,4,Four common down in a square,Deal four face down common cards in a 2x2 square.
54,common,4,Four common down in a diamond,Deal four common cards face down in a diamond.
55,common,4,Four common down,Deal four common cards face down.
56,common,4,Four common down in a Z,"Deal four common cards down in a Z formation, so that the last card in the top row is above the first card in the bottom row."
57,common,4,Four common up,Deal four common cards face up.
58,common,5,Four commons down in a cross around a joker,"Deal four face down common cards in a cross, and put a joker in the center of the cross."
59,common,5,Five common down in a cross,Deal five common cards face down in a cross pattern.
60,common,5,Five common up,Deal five common cards face up.
